Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[individual]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[Proteomics Data Acquisition Method]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type
Sample 1	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 1	proteomic profiling by mass spectrometer	181029_EVs_Group1_MRM_AD31_05_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181029_EVs_Group1_MRM_AD31_05_A.raw	5	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 2	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 2	proteomic profiling by mass spectrometer	181029_EVs_Group1_MRM_AD31_05_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181029_EVs_Group1_MRM_AD31_05_B.raw	5	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 1	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 3	proteomic profiling by mass spectrometer	181029_EVs_Group1_MRM_AD31_07_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181029_EVs_Group1_MRM_AD31_07_A.raw	7	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 3	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 4	proteomic profiling by mass spectrometer	181029_EVs_Group1_MRM_AD31_07_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181029_EVs_Group1_MRM_AD31_07_C.raw	7	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	3	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 3	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 5	proteomic profiling by mass spectrometer	181029_EVs_Group1_MRM_AD31_10_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181029_EVs_Group1_MRM_AD31_10_C.raw	10	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	3	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 3	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 6	proteomic profiling by mass spectrometer	181029_EVs_Group1_MRM_AD31_18_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181029_EVs_Group1_MRM_AD31_18_C.raw	18	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	3	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 3	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 7	proteomic profiling by mass spectrometer	181029_EVs_Group1_MRM_AD31_20_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181029_EVs_Group1_MRM_AD31_20_C.raw	20	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	3	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 4	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 8	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_03_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_03_A.raw	3	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 5	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 9	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_03_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_03_B.raw	3	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 4	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 10	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_04_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_04_A.raw	4	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
